,company_name,company_url
0,ICT bedrijven zoeken,https://www.ictergezocht.nl/ict-bedrijven/
1,ICT bedrijven zoeken,https://www.ictergezocht.nl/ict-bedrijven/
2,a friend of mine,https://www.ictergezocht.nl/ict-bedrijven/4763-a-friend-of-mine/
3,A New Spring,https://www.ictergezocht.nl/ict-bedrijven/703-a-new-spring/
4,A!tention,https://www.ictergezocht.nl/ict-bedrijven/64-atention/
5,A. van Tilburg Beheer,https://www.ictergezocht.nl/ict-bedrijven/7777-a-van-tilburg-beheer/
6,A&A Capacity,https://www.ictergezocht.nl/ict-bedrijven/8083-aa-capacity/
7,A&A Capacity,https://www.ictergezocht.nl/ict-bedrijven/5326-aa-capacity/
8,a&m impact internetdiensten,https://www.ictergezocht.nl/ict-bedrijven/79-am-impact-internetdiensten/
9,A+ Personeel,https://www.ictergezocht.nl/ict-bedrijven/9648-a-personeel/
10,Aafje,https://www.ictergezocht.nl/ict-bedrijven/8395-aafje/
11,Aafje,https://www.ictergezocht.nl/ict-bedrijven/9970-aafje/
12,Aafje thuiszorg huizen zorghotels,https://www.ictergezocht.nl/ict-bedrijven/5127-aafje-thuiszorg-huizen-zorghotels/
13,AAN,https://www.ictergezocht.nl/ict-bedrijven/6198-aan/
14,Aan Zee Interactive,https://www.ictergezocht.nl/ict-bedrijven/2895-aan-zee-interactive/
15,Aartsen Breda,https://www.ictergezocht.nl/ict-bedrijven/7620-aartsen-breda/
16,Aatop ICT,https://www.ictergezocht.nl/ict-bedrijven/127-aatop-ict/
17,AB Midden Nederland,https://www.ictergezocht.nl/ict-bedrijven/10277-ab-midden-nederland/
18,AB Zuid-Holland,https://www.ictergezocht.nl/ict-bedrijven/10619-ab-zuid-holland/
19,Abacus,https://www.ictergezocht.nl/ict-bedrijven/5391-abacus/
20,ABB Ontwikkeling,https://www.ictergezocht.nl/ict-bedrijven/9569-abb-ontwikkeling/
21,ABC E BUSINESS,https://www.ictergezocht.nl/ict-bedrijven/4260-abc-e-business/
22,ABCom ITServe,https://www.ictergezocht.nl/ict-bedrijven/4927-abcom-itserve/
23,ABF Research,https://www.ictergezocht.nl/ict-bedrijven/9579-abf-research/
24,ABN AMRO,https://www.ictergezocht.nl/ict-bedrijven/7287-abn-amro/
25,about:blank,https://www.ictergezocht.nl/ict-bedrijven/8209-aboutblank/
26,Abovo Media,https://www.ictergezocht.nl/ict-bedrijven/1778-abovo-media/
27,Abstract IT,https://www.ictergezocht.nl/ict-bedrijven/6217-abstract-it/
28,ABZ,https://www.ictergezocht.nl/ict-bedrijven/4952-abz/
29,Acantis,https://www.ictergezocht.nl/ict-bedrijven/498-acantis/
30,Acato,https://www.ictergezocht.nl/ict-bedrijven/4521-acato/
31,ACC ICT,https://www.ictergezocht.nl/ict-bedrijven/8152-acc-ict/
32,Accent Automatisering,https://www.ictergezocht.nl/ict-bedrijven/7899-accent-automatisering/
33,Accent Pointe,https://www.ictergezocht.nl/ict-bedrijven/9118-accent-pointe/
34,Accenture,https://www.ictergezocht.nl/ict-bedrijven/8698-accenture/
35,AccessPlanner,https://www.ictergezocht.nl/ict-bedrijven/10503-accessplanner/
36,Accord Marketing Limited,https://www.ictergezocht.nl/ict-bedrijven/8941-accord-marketing-limited/
37,Ace Mobilization,https://www.ictergezocht.nl/ict-bedrijven/8292-ace-mobilization/
38,ACF Bentveld,https://www.ictergezocht.nl/ict-bedrijven/8298-acf-bentveld/
39,Achmea health Centers,https://www.ictergezocht.nl/ict-bedrijven/971-achmea-health-centers/
40,Acision,https://www.ictergezocht.nl/ict-bedrijven/35-acision/
41,Acknowledge Benelux,https://www.ictergezocht.nl/ict-bedrijven/9268-acknowledge-benelux/
42,Acknowledge Benelux,https://www.ictergezocht.nl/ict-bedrijven/10745-acknowledge-benelux/
43,Acknowledge Professional Services,https://www.ictergezocht.nl/ict-bedrijven/2783-acknowledge-professional-services/
44,ACN Europe,https://www.ictergezocht.nl/ict-bedrijven/4268-acn-europe/
45,Acolad,https://www.ictergezocht.nl/ict-bedrijven/10209-acolad/
46,AcouSoft Informatisering,https://www.ictergezocht.nl/ict-bedrijven/10613-acousoft-informatisering/
47,Acrelec Group,https://www.ictergezocht.nl/ict-bedrijven/8845-acrelec-group/
48,Acrelec Group,https://www.ictergezocht.nl/ict-bedrijven/10128-acrelec-group/
49,Acropolis Automatiseringsgroep,https://www.ictergezocht.nl/ict-bedrijven/1425-acropolis-automatiseringsgroep/
50,Act Vision,https://www.ictergezocht.nl/ict-bedrijven/632-act-vision/
51,Act-3D,https://www.ictergezocht.nl/ict-bedrijven/9748-act-3d/
52,Acta Marine Management Services,https://www.ictergezocht.nl/ict-bedrijven/10711-acta-marine-management-services/
53,Actacom,https://www.ictergezocht.nl/ict-bedrijven/9944-actacom/
54,Active Ants,https://www.ictergezocht.nl/ict-bedrijven/5232-active-ants/
55,Active Cues,https://www.ictergezocht.nl/ict-bedrijven/7958-active-cues/
56,Active Group ICT - Meester in ICT en AV,https://www.ictergezocht.nl/ict-bedrijven/5006-active-group-ict-meester-in-ict-en-av/
57,Active Intermediair,https://www.ictergezocht.nl/ict-bedrijven/605-active-intermediair/
58,ActiVite,https://www.ictergezocht.nl/ict-bedrijven/4688-activite/
59,"ActiZ, branchevereniging van zorgorganisaties",https://www.ictergezocht.nl/ict-bedrijven/9595-actiz-branchevereniging-van-zorgorganisaties/
60,Ad Channel,https://www.ictergezocht.nl/ict-bedrijven/302-ad-channel/
61,Adaption Business Software,https://www.ictergezocht.nl/ict-bedrijven/8404-adaption-business-software/
62,Adaptivity,https://www.ictergezocht.nl/ict-bedrijven/8134-adaptivity/
63,Add Value IT Recruitment,https://www.ictergezocht.nl/ict-bedrijven/9335-add-value-it-recruitment/
64,AddComm,https://www.ictergezocht.nl/ict-bedrijven/10507-addcomm/
65,AddComm Direct,https://www.ictergezocht.nl/ict-bedrijven/5266-addcomm-direct/
66,AddComm Direct,https://www.ictergezocht.nl/ict-bedrijven/9630-addcomm-direct/
67,Adecco Deventer,https://www.ictergezocht.nl/ict-bedrijven/900-adecco-deventer/
68,Adecon,https://www.ictergezocht.nl/ict-bedrijven/4502-adecon/
69,Adecs Airinfra,https://www.ictergezocht.nl/ict-bedrijven/3145-adecs-airinfra/
70,Adeko Webdesign & Development,https://www.ictergezocht.nl/ict-bedrijven/7862-adeko-webdesign-development/
71,adesso Nederland,https://www.ictergezocht.nl/ict-bedrijven/10083-adesso-nederland/
72,Adfiliate Concepts,https://www.ictergezocht.nl/ict-bedrijven/5331-adfiliate-concepts/
73,Adlantic Online Advertising,https://www.ictergezocht.nl/ict-bedrijven/4808-adlantic-online-advertising/
74,Admicom Systems,https://www.ictergezocht.nl/ict-bedrijven/8090-admicom-systems/
75,Adomex International,https://www.ictergezocht.nl/ict-bedrijven/9287-adomex-international/
76,Adsolutions,https://www.ictergezocht.nl/ict-bedrijven/10433-adsolutions/
77,Adtraxion Systems,https://www.ictergezocht.nl/ict-bedrijven/1140-adtraxion-systems/
78,ADTS ICT,https://www.ictergezocht.nl/ict-bedrijven/10706-adts-ict/
79,Advance Communications,https://www.ictergezocht.nl/ict-bedrijven/9856-advance-communications/
80,Advanced CRMMail Technology,https://www.ictergezocht.nl/ict-bedrijven/7768-advanced-crmmail-technology/
81,Adver-Online,https://www.ictergezocht.nl/ict-bedrijven/6177-adver-online/
82,Adver-Online,https://www.ictergezocht.nl/ict-bedrijven/3632-adver-online/
83,Adversitement,https://www.ictergezocht.nl/ict-bedrijven/2304-adversitement/
